StudentId,School,Class Period,Condition,Consent,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Learning Gain,Pre-Test,Post-Test,Number of Assists,# EX Problems Completed,# AP problems completed,# AP Problems correct,Attention Yes,Attention No,Attention Idle or ?,mood_neutral,mood_down,mood_up,mood_q,attention_idle,attention_q,attendance_present,attendance_missing,mood_neutral_attention_yes_attendance_present,mood_down_attention_yes_attendance_present,mood_up_attention_yes_attendance_present,mood_q_attention_yes_attendance_present
192,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,13,4,17,2,67,359,355,7,2,3,11,1,0,0,3,0,12,0,6,1,0,0
193,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,3,5,8,2,34,226,214,9,1,2,11,0,1,0,2,0,12,0,8,0,1,0
195,Hamilton,2,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,3,13,16,0,106,392,386,4,3,5,12,0,0,0,5,0,12,0,4,0,0,0
196,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,4,7,11,0,59,373,363,9,0,3,12,0,0,0,3,0,12,0,9,0,0,0
197,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,15,0,15,0,100,386,374,9,1,2,11,1,0,0,2,0,12,0,9,0,0,0
198,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,3,9,12,2,65,361,353,7,3,2,11,0,1,0,2,0,12,0,6,0,1,0
200,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,6,9,15,1,98,384,377,8,2,2,12,0,0,0,2,0,12,0,8,0,0,0
201,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,2,13,15,1,173,389,382,7,2,3,11,1,0,0,3,0,12,0,6,1,0,0
202,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,0,13,13,0,67,316,305,9,3,0,12,0,0,0,0,0,12,0,9,0,0,0
204,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,13,10,23,1,59,343,341,7,3,2,11,1,0,0,2,0,12,0,6,1,0,0
206,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,8,14,22,0,72,405,384,7,1,4,10,1,1,0,4,0,12,0,5,1,1,0
207,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,-2,9,7,0,71,317,305,1,0,11,1,0,0,11,0,11,1,11,1,0,0,0
208,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,NA,NA,27,0,31,248,242,10,0,2,12,0,0,0,2,0,12,0,10,0,0,0
210,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,9,6,15,3,96,387,375,9,2,1,12,0,0,0,1,0,12,0,9,0,0,0
211,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,4,13,17,0,90,400,392,9,1,2,11,0,1,0,2,0,12,0,8,0,1,0
212,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,7,9,16,1,84,354,343,9,1,2,12,0,0,0,2,0,12,0,9,0,0,0
213,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,2,12,14,0,153,372,368,9,2,1,12,0,0,0,1,0,12,0,9,0,0,0
214,Hamilton,2,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,5,5,10,2,48,355,349,9,1,2,11,1,0,0,2,0,12,0,8,1,0,0
215,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,6,12,18,0,53,327,322,9,2,1,11,0,1,0,1,0,12,0,8,0,1,0
217,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,9,5,14,4,32,318,306,9,0,11,8,2,0,10,1,10,12,8,7,1,0,1
218,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,9,13,22,0,58,370,366,17,1,1,11,4,2,2,1,0,19,0,9,4,2,2
219,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,6,9,15,0,23,191,183,0,0,20,0,0,0,20,0,20,0,20,0,0,0,0
220,Hamilton,5,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,22,1,23,0,27,192,184,19,1,0,13,0,0,7,0,0,20,0,13,0,0,6
222,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,6,9,15,0,80,387,387,18,2,0,11,2,0,7,0,0,20,0,10,2,0,6
223,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,11,8,19,0,50,207,194,0,0,20,0,0,0,20,0,20,0,20,0,0,0,0
224,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,9,13,22,0,46,351,344,18,2,0,11,1,8,0,0,0,20,0,10,1,7,0
225,Hamilton,5,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12,6,13,19,0,68,399,389,16,2,2,12,8,0,0,2,0,20,0,9,7,0,0
