id,School,Class Period,Condition,Consent,Unit 2 Pre-Test Type,Unit 2 Learning Gain,Unit 4 Pre-Test Type,Unit 4 Learning Gain,Unit 2 Pre-Test,Unit 2 Post-Test,Placeholder,Unit 4 Pre-Test,Unit 4 Post-Test,Number of Assists,# Exercise Problems Completed,# Assessment Problems Completed,% Assessment Problems Correct,Percent Observations On Task,Percent Observations Off Task,Percent Observations Idle or ?,Total Observations,Unit2_Pre_1.A,Unit2_Pre_1.B,Unit2_Pre_1.C,Unit2_Pre_1.D,Unit2_Pre_1.E,Unit2_Pre_1.F,Unit2_Pre_2.A,Unit2_Pre_2.B,Unit2_Pre_3.A,Unit2_Pre_3.B,Unit2_Pre_3.C,Unit2_Pre_3.D,Unit2_Pre_4,Unit2_Pre_5.A,Unit2_Pre_5.B,Unit2_Pre_5.C,Unit2_Pre_5.D,Unit2_Pre_5.E,Unit2_Pre_5.F,Unit2_Pre_5.G,Unit2_Pre_5.H,Unit2_Pre_5.I,Unit2_Pre_5.J,Unit2_Pre_5.K,Unit2_Pre_6.A,Unit2_Pre_6.B,Unit2_Pre_7.A,Unit2_Pre_7.B,Unit2_Pre_8.A,Unit2_Pre_8.B,Unit2_Post_1.A,Unit2_Post_1.B,Unit2_Post_1.C,Unit2_Post_1.D,Unit2_Post_1.E,Unit2_Post_1.F,Unit2_Post_2.A,Unit2_Post_2.B,Unit2_Post_3.A,Unit2_Post_3.B,Unit2_Post_3.C,Unit2_Post_3.D,Unit2_Post_4,Unit2_Post_5.A,Unit2_Post_5.B,Unit2_Post_5.C,Unit2_Post_5.D,Unit2_Post_5.E,Unit2_Post_5.F,Unit2_Post_5.G,Unit2_Post_5.H,Unit2_Post_5.I,Unit2_Post_5.J,Unit2_Post_5.K,Unit2_Post_6.A,Unit2_Post_6.B,Unit2_Post_7.A,Unit2_Post_7.B,Unit2_Post_8.A,Unit2_Post_8.B,Unit4_Pre_1.A,Unit4_Pre_1.B,Unit4_Pre_1.C,Unit4_Pre_1.D,Unit4_Pre_1.E,Unit4_Pre_1.F,Unit4_Pre_2.A,Unit4_Pre_2.B,Unit4_Pre_3.A,Unit4_Pre_3.B,Unit4_Pre_3.C,Unit4_Pre_3.D,Unit4_Pre_3.E,Unit4_Pre_3.F,Unit4_Pre_3.G,Unit4_Pre_3.H,Unit4_Pre_3.I,Unit4_Pre_3.J,Unit4_Pre_4.A,Unit4_Pre_4.B,Unit4_Pre_5.A,Unit4_Pre_5.B,Unit4_Post_1.A,Unit4_Post_1.B,Unit4_Post_1.C,Unit4_Post_1.D,Unit4_Post_1.E,Unit4_Post_3.A,Unit4_Post_3.B,Unit4_Post_3.C,Unit4_Post_3.D,Unit4_Post_3.E,Unit4_Post_3.F,Unit4_Post_3.G,Unit4_Post_3.H,Unit4_Post_3.I,Unit4_Post_3.J,Unit4_Post_4.A,Unit4_Post_4.B,Unit4_Post_5.A,Unit4_Post_5.B
5327,South Shore,3,paper,,,null,B,2,,,0,5,7,1,121,448,68.30357143,53.06122449,32.65306122,14.28571429,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,Lakota,2,tablet,y,A,6.5,B,1,4,10.5,0,1,2,1,872,178,89.3258427,71.42857143,11.9047619,16.66666667,42,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,Lakota,2,tablet,y,B,6.5,B,5,4,10.5,0,2,7,1,934,228,70.61403509,19.04761905,14.28571429,66.66666667,42,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
413,Lakota,2,tablet,,A,null,,,10,,0,,,0,334,33,93.93939394,57.14285714,25,17.85714286,28,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Lakota,2,tablet,,B,0,A,null,6,6,0,3,,1,886,206,92.7184466,78.04878049,17.07317073,4.87804878,41,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
415,Lakota,2,tablet,,A,7,B,-1,6,13,0,2,1,1,980,229,66.81222707,87.80487805,12.19512195,0,41,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Lakota,2,tablet,,A,4,B,6,6,10,0,1,7,1,749,144,52.08333333,71.42857143,26.19047619,2.380952381,42,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
417,Lakota,2,tablet,,B,4.5,A,-5,9,13.5,0,10,5,1,1018,198,90.4040404,68.29268293,29.26829268,2.43902439,41,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Lakota,2,tablet,y,B,6.5,A,1,3,9.5,0,0,1,1,868,159,88.67924528,65.11627907,30.23255814,4.651162791,43,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
419,Lakota,2,tablet,,B,6,B,11,8,14,0,3,14,1,1005,160,93.125,72.09302326,25.58139535,2.325581395,43,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
