StudentId,School,Class Period,Condition,Consent,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Learning Gain,Pre-Test,Post-Test,Number of Assists,# EX Problems Completed,# AP problems completed,# AP Problems correct,Attention Yes,Attention No,Attention Idle or ?,mood_neutral,mood_down,mood_up,mood_q,attention_idle,attention_q,attendance_present,attendance_missing,mood_neutral_attention_yes_attendance_present,mood_down_attention_yes_attendance_present,mood_up_attention_yes_attendance_present,mood_q_attention_yes_attendance_present
192,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,214.2857143,7,15,0,501,311,306,52,3,1,55,0,1,0,1,0,56,0,52,0,0,0
193,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,83.33333333,6,5,3,194,253,241,55,0,1,56,0,0,0,1,0,56,0,55,0,0,0
195,Hamilton,2,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,118.1818182,11,13,2,564,342,331,52,2,2,55,0,1,0,2,0,56,0,52,0,0,0
196,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,133.3333333,9,12,0,209,286,279,22,3,31,25,0,0,31,0,31,25,31,22,0,0,0
197,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,61.29032258,31,19,4,347,266,262,45,10,1,53,0,3,0,1,0,56,0,45,0,0,0
198,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,366.6666667,3,11,5,393,303,298,52,3,1,54,0,2,0,1,0,56,0,51,0,1,0
200,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,350,4,14,0,569,320,316,48,6,2,54,0,2,0,2,0,56,0,46,0,2,0
201,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,200,8,16,1,756,315,313,44,9,3,50,0,5,1,2,1,55,1,43,0,1,0
202,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,300,5,15,2,346,238,236,50,6,0,53,0,3,0,0,0,56,0,49,0,1,0
204,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,160,10,16,3,462,303,297,45,11,0,49,0,7,0,0,0,56,0,42,0,3,0
206,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,233.3333333,9,21,2,502,292,288,42,11,3,55,0,0,1,2,1,55,1,42,0,0,0
207,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,100,7,7,0,400,297,289,50,6,0,56,0,0,0,0,0,56,0,50,0,0,0
208,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,130.7692308,13,17,0,520,273,273,51,3,2,53,0,3,0,2,0,56,0,50,0,1,0
210,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,94.11764706,17,16,2,315,311,306,43,6,7,50,0,0,6,1,6,50,6,43,0,0,0
211,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,105.2631579,19,20,2,539,242,230,51,4,1,56,0,0,0,1,0,56,0,51,0,0,0
212,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,116.6666667,12,14,2,457,331,318,49,5,2,55,0,1,0,2,0,56,0,49,0,0,0
